abb,rival,is_local,base_puntos,base_x3pt,base_rebotes,base_asistencias,base_valoracion,alero_puntos,alero_x3pt,alero_rebotes,alero_asistencias,alero_valoracion,pivot_puntos,pivot_x3pt,pivot_rebotes,pivot_asistencias,pivot_valoracion,base_puntos_encontra,base_x3pt_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos_encontra,alero_x3pt_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos_encontra,pivot_x3pt_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra,num_jornada,id_match,matchweek_number,logo_cuadrado,logo_rival
BAR,Todos,Todas,5,1,2,2,5,8,1,3,1,8,7,0,3,1,8,8,1,2,3,9,7,1,3,1,6,7,1,3,1,8,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,NA
BAR,Todos,Todas Local,3,1,1,2,4,9,2,3,1,9,8,0,3,1,9,8,1,1,3,7,8,1,4,1,8,6,0,2,1,7,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,NA
BAR,Todos,Todas  Visitante,6,1,2,2,6,7,1,3,1,7,6,0,2,1,7,9,2,3,3,13,6,1,2,1,4,8,1,4,1,9,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,NA
BAR,VBC,Visitante,4.5,0.5,1.5,3,2.5,8.3,1.2,3,0.8,7.2,5.5,0.2,3,1.2,7.8,9,1.5,3,5,14.5,6.8,1,2.4,1.8,5.6,10.2,1,3.8,1.2,13.5,1,104467,Jor. 1,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png
BAR,HIO,Local,5.5,1.5,1.5,2,5.5,7.2,0.8,2.7,1.3,7.3,8,0,3.2,1,8,10,2,0,3,11,9.3,1,4.3,1.1,8.7,4,0,1.2,1,6,2,104473,Jor. 2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png
BAR,UNI,Visitante,8,2,3,2,8.5,7.8,0.6,3.8,1.2,9,5.6,0,2,0.4,6.6,6.5,0.5,3.5,2.5,11,5.5,0.2,2.2,0.8,1.2,7,0.5,3.7,0.5,7,3,104485,Jor. 3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png
BAR,BRE,Local,2.5,0.5,2,0.5,4,13.2,2.4,2.8,1.8,13.4,5.8,0,2.6,1.4,6.8,5,0.7,1.3,2.7,5,9,1.2,2,0.5,7.5,6.8,0.6,2.2,0.8,6.6,4,104487,Jor. 4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png
BAR,UCM,Local,4.5,0.5,1,2.5,5,5.3,0.7,3,1,4.5,9.2,0,3,0.2,10.2,12.5,0.5,1,5,8.5,3.4,0.6,4.6,2.4,6.4,7.8,1,3,0.2,8,5,104501,Jor. 5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
BAR,GIR,Visitante,6,1,1.7,2.3,7.3,6.2,1,3.2,0.8,6.2,7.2,0,1,0.5,6.8,11.5,2.5,2.2,1.8,12.5,5.8,0.8,2.5,1,5.8,6.8,0.5,4,1,6.8,6,104509,Jor. 6,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png
BAR,BKN,Local,1.3,0,1.3,2.3,0.7,10.6,2.2,2.2,1.4,9.6,8.5,0.2,2.8,0.8,10.8,3.3,0,2.7,1.7,2,9.3,1.2,3.5,1.8,9.8,5.7,0.3,2.7,0.3,8,7,104521,Jor. 7,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png
BAX,Todos,Todas,8,1,2,4,7,7,1,2,0,6,6,1,3,1,6,8,1,2,3,6,7,1,2,1,6,7,0,4,1,10,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,NA
BAX,Todos,Todas Local,9,1,2,4,9,8,1,2,0,7,5,1,3,1,6,5,1,1,3,2,8,1,3,1,7,7,0,4,1,9,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,NA
BAX,Todos,Todas  Visitante,8,0,2,4,6,6,1,2,1,4,6,0,3,1,6,11,1,2,3,10,6,1,2,1,6,8,0,5,1,11,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,NA
BAX,LLT,Visitante,7.3,0,2.7,4.7,8.3,8,1,2.5,0.8,7.2,7.8,0.6,1.6,1.2,6.8,10.3,1.7,2,1.7,9.3,8.5,1,2.2,1.5,10.8,9.5,0.7,3.7,1.7,12.2,1,104461,Jor. 1,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png
BAX,COV,Local,6,0.3,1.7,4,8.3,8.5,1,2.8,0.2,7,6.2,0.6,4,1.2,7.8,6,1,1,3,1,5.4,0.8,3,0.8,3.6,6.6,0.2,5.8,0.4,8,2,104471,Jor. 2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png
BAX,DGC,Local,8,1.7,2.7,3,5,7,1,1.8,0.5,6.2,5.6,0.6,2.4,0.6,5.8,6,1.5,0.5,3,3.5,11,1,3,1.2,12.8,6.2,1,3,1,7.8,3,104477,Jor. 3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png
BAX,RMB,Visitante,7.7,0.3,1.7,3,1.7,5,0.5,2,0.2,3.2,6.4,0.2,3.2,0.4,6.8,10,1,2,3.5,9,3.8,0.4,1.2,0.6,-0.4,9.6,0.4,6.4,0.2,16.2,4,104494,Jor. 4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png
BAX,SBB,Local,8,0,2.3,5,9.3,5.5,0.2,3,0.8,7.2,6.6,0.8,4,0.2,6.4,5.5,0.5,4,3,8.5,8.6,1.4,1.6,0.8,3.6,5.8,0,4.8,1,8.2,5,104495,Jor. 5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png
BAX,UCM,Visitante,8.3,0.3,2,3.3,6.7,4,0.5,1.8,0.8,3,4.8,0.4,3,0.4,4.8,13,1.5,1,2.5,12,7,0.4,3.2,1.2,6.4,4.6,0,3.6,0.4,4.8,6,104504,Jor. 6,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
BAX,HIO,Local,13,2,1.7,4,11.7,10.8,2,2,0.2,9.5,3.4,0.4,3,0.2,3.4,2,0,0,2,-4,6.9,0.3,3.1,1.6,6.7,9,0.2,3.8,0.5,11.5,7,104517,Jor. 7,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png
BKN,Todos,Todas,7,1,2,2,7,10,1,4,1,9,4,0,2,1,4,10,1,2,4,10,7,1,2,1,7,7,0,3,1,8,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,NA
BKN,Todos,Todas Local,7,0,3,3,9,12,2,4,2,12,4,0,1,0,4,9,1,3,6,11,6,0,2,1,5,8,1,2,0,9,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,NA
BKN,Todos,Todas  Visitante,7,1,2,2,6,9,1,4,1,8,4,0,3,1,5,10,1,1,4,10,7,1,3,1,8,7,0,3,1,8,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,NA
BKN,CAZ,Visitante,4.7,0,1.3,2.7,6.3,9.2,0.6,3.8,0.6,7.6,2.3,0,4,0.7,0.7,15.5,1.5,1,4.5,14.5,5.6,0.7,2.6,1.6,7.3,9.2,0,5.2,1,10,1,104465,Jor. 1,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png
BKN,RMB,Local,9.8,0.5,3.2,3.2,15.8,9.5,1.2,1.2,1.2,7,3.7,0,0.7,0.3,1.7,9,1,2,5,11,8.4,0.8,1.6,1.4,6,8.2,1,2.5,0.5,10.5,2,104476,Jor. 2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png
BKN,COV,Visitante,7,0.3,1.3,2.7,8,9.8,1.5,3.8,0.8,8,7.7,1,3.3,1.7,9.3,11,3,1,5,8,6.4,0.8,1.2,0.6,5,7.4,0,3.4,0.8,9.6,3,104484,Jor. 3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png
BKN,UCM,Visitante,9.5,0.5,1,1,8.5,8,0.6,5,0.6,7.6,2,0,2.3,1,3.3,18,2,3,3,19.5,4.8,0.4,4.4,1.2,6.6,5.8,0.4,2,0.4,4.8,4,104491,Jor. 4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
BKN,LLT,Local,4.2,0,2,2.8,2.8,15.5,1.8,6,2.5,16.5,3.3,0,2,0.7,5.3,9,1,3.5,6.5,10.5,4,0.2,1.4,0.8,3.4,7.5,0.3,2.5,0.3,7.8,5,104503,Jor. 5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/LLT.png
BKN,HIO,Visitante,10,2.5,3.2,2.5,6.5,7.4,0.8,3.4,1.4,7.4,1,0.3,2,1,1.7,5,0,1,5,8,9.3,1.1,3.3,1.1,11.7,4,0,2,0.2,3.2,6,104508,Jor. 6,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png
BKN,BAR,Visitante,3.3,0,2.7,1.7,2,9.3,1.2,3.5,1.8,9.8,5.7,0.3,2.7,0.3,8,1.3,0,1.3,2.3,0.7,10.6,2.2,2.2,1.4,9.6,8.5,0.2,2.8,0.8,10.8,7,104521,Jor. 7,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png
BRE,Todos,Todas,5,0,1,3,6,10,2,2,1,9,6,0,4,1,7,7,1,3,3,8,9,2,2,2,9,7,0,4,1,8,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,NA
BRE,Todos,Todas Local,6,1,2,3,7,10,2,2,1,8,6,1,4,1,7,7,1,2,4,10,10,2,2,2,9,8,1,4,1,9,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,NA
BRE,Todos,Todas  Visitante,5,0,1,3,5,10,1,3,1,9,7,0,4,1,6,7,1,3,3,7,9,1,3,2,9,6,0,4,1,8,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,NA
BRE,HIO,Visitante,2.3,0,1,2.7,3.3,9.5,1.8,2,0.2,5.2,4.5,0.2,4,1.8,5.8,7,1,5,5,12,7.9,1,3.6,3,8.7,6.2,0,4.2,0.2,9.2,1,104462,Jor. 1,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png
BRE,VBC,Local,5.7,0.3,2,3.3,6.7,12.8,2.8,1.5,0.5,8.8,4.4,0.6,3.4,1,4.8,11,1.5,4,6,18,8.2,1.8,2.4,1.8,7.6,12,1.8,4.5,1.2,14.2,2,104474,Jor. 2,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png
BRE,CAZ,Visitante,7.7,0.3,0.7,3.3,6.7,7.8,1,3.5,1.8,9,6.8,0.8,3.6,0.4,6.4,5.5,0.5,3,3.5,5,6.3,0.6,1.4,0.9,5.9,7.2,0,4.8,0.8,10,3,104479,Jor. 3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png
BRE,BAR,Visitante,5,0.7,1.3,2.7,5,9,1.2,2,0.5,7.5,6.8,0.6,2.2,0.8,6.6,2.5,0.5,2,0.5,4,13.2,2.4,2.8,1.8,13.4,5.8,0,2.6,1.4,6.8,4,104487,Jor. 4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAR.png
BRE,COV,Local,7.3,1,2.3,3,9.3,10.2,2.2,1.2,1.5,8.2,6.4,0.6,4.4,0.2,7.6,6,1,2,3.5,10,7.2,1.2,2,1,4.8,5.2,0,4,0.6,5.2,5,104498,Jor. 5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png
BRE,DGC,Local,4.7,0.7,1.7,3.3,6,8.2,0.8,2.8,0.5,7.2,6.8,0.4,4.2,1.2,9.6,3.5,0.5,1,3.5,2,14,2.8,2.2,2.5,15.8,5.8,0.4,4.2,1,6.4,6,104505,Jor. 6,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png
BRE,UCM,Visitante,5,0.3,1.3,3.3,5.7,12.2,1.8,4.5,1,14.5,8,0.2,5,0.2,7.2,12.5,2,1.5,1.5,7.5,6.8,0.8,3,1.4,7,4.8,0.6,2.4,0.4,5.2,7,104520,Jor. 7,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UCM.png
BUR,Todos,Todas,6,1,2,3,5,8,1,3,2,8,7,0,3,1,6,11,1,2,4,12,7,1,3,1,7,7,0,4,1,9,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,NA
BUR,Todos,Todas Local,7,1,2,4,8,9,1,3,1,9,5,0,3,1,6,8,1,2,4,8,8,1,3,1,7,7,0,4,1,8,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,NA
BUR,Todos,Todas  Visitante,5,0,2,2,4,8,1,3,2,7,8,0,3,1,7,13,1,2,4,15,7,1,3,2,7,7,0,4,1,10,NA,NA,Jor. NA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,NA
BUR,GIR,Local,6.7,1,2.7,1.7,9.7,11,1,4.2,1.4,11.4,5.5,0,3,0.8,5.8,5.2,0.8,1.8,4,3.2,9.8,0.5,3,1.2,9,4.8,0,3,0.5,5.2,1,104460,Jor. 1,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png
